model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_6000_epoch.pth,random,mult,,,0.3375394344329834,0.9683698415756226,1.075627088546753,1.0865437984466553,tensor(0.9702),tensor(0.9681),tensor(0.9696),tensor(0.9684),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.2917981147766113,0.9674925804138184,1.0769779682159424,1.0909987688064575,tensor(0.9704),tensor(0.9676),tensor(0.9689),tensor(0.9675),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.2429022192955017,0.9664172530174256,1.0808521509170532,1.101125717163086,tensor(0.9692),tensor(0.9660),tensor(0.9678),tensor(0.9664),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.1687697172164917,0.9648800492286682,1.0886790752410889,1.1186473369598389,tensor(0.9684),tensor(0.9644),tensor(0.9653),tensor(0.9649),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.0,0.9559543132781982,1.5688923597335815,1.6946229934692385,tensor(0.9643),tensor(0.9583),tensor(0.9602),tensor(0.9560),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.2776025235652923,0.9680522680282592,1.0764739513397217,1.0909122228622437,tensor(0.9702),tensor(0.9678),tensor(0.9697),tensor(0.9681),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.0977917984127998,0.96273934841156,1.10448956489563,1.1437805891036987,tensor(0.9674),tensor(0.9616),tensor(0.9629),tensor(0.9627),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,obs,mult,,,0.0015772870974615,0.8924944400787354,1.4904110431671145,1.5905522108078003,tensor(0.9305),tensor(0.9027),tensor(0.9180),tensor(0.8925),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,three
4_layer_6000_epoch.pth,obs,mult,,,0.0078864358365535,0.9098305106163024,1.285336971282959,1.3428306579589844,tensor(0.9532),tensor(0.9107),tensor(0.9413),tensor(0.9098),0,512,50,1e-07,three
