,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
2106,,,obs,5.0,wiki_fast,1.0,99.48718547821044,-0.512814521789565,101.5146026611328,40.12167862243588,1.0,4.0,20,0.0,20000.0,5.0,0.05
2107,,,random,1.0,wiki_fast,1.0,11.79487183690071,-88.20512816309929,119.08767700195312,64.37797880628494,1.0,4.0,20,0.0,20000.0,20.0,0.05
2108,,,random_greedy,10.0,wiki_fast,1.0,0.0,-100.0,73.70651245117188,1.7378778946641233,1.0,4.0,20,0.0,20000.0,10.0,0.7
2109,,,hc,0.1,wiki_fast,1.0,100.0,0.0,72.28089904785156,-0.22991134849240202,1.0,4.0,20,0.0,20000.0,10.0,0.05
2110,,,slim,0.1,wiki_fast,1.0,100.0,0.0,72.3948974609375,-0.07255813444085059,1.0,4.0,20,0.0,20000.0,10.0,0.05
2111,,,zero,0.1,wiki_fast,1.0,100.0,0.0,72.4286117553711,-0.026021937620223774,1.0,4.0,20,0.0,20000.0,5.0,0.05
2112,,,act,1.0,wiki_fast,1.0,97.94871807098387,-2.0512819290161275,76.525146484375,5.62846823143707,1.0,4.0,20,0.0,20000.0,5.0,0.05
2113,,,ig,5.0,wiki_fast,1.0,5.12820519506931,-94.87179480493069,130.744384765625,80.46785569334932,1.0,4.0,20,0.0,20000.0,5.0,0.05
2115,,,greedy,1.0,wiki_fast,1.0,21.02564126253128,-78.97435873746872,314.902587890625,340.99540487684794,1.0,4.0,30,0.0,20000.0,5.0,0.05
2116,,,durable,0.001,wiki_fast,1.0,100.0,0.0,71.6357421875,0.3200175052310554,1.0,4.0,30,0.0,20000.0,5.0,0.05
2117,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,71.67366790771484,0.37312938485523994,1.0,4.0,30,0.0,20000.0,5.0,0.05
2118,,,obs,0.001,wiki_fast,1.0,100.0,0.0,71.42247772216797,0.02135800590801548,1.0,4.0,30,0.0,20000.0,5.0,0.05
2119,,,random,1.0,wiki_fast,1.0,0.0,-100.0,125.46061706542967,75.69736720641127,1.0,4.0,30,0.0,20000.0,20.0,0.05
2120,,,random_greedy,10.0,wiki_fast,1.0,0.0,-100.0,78.40679168701172,9.802320383337209,1.0,4.0,30,0.0,20000.0,10.0,0.5
2121,,,hc,1.0,wiki_fast,1.0,98.97436499595642,-1.025635004043579,75.35106658935547,5.523026473242981,1.0,4.0,30,0.0,20000.0,10.0,0.05
2122,,,slim,0.1,wiki_fast,1.0,100.0,0.0,71.34033966064453,-0.09366965372464818,1.0,4.0,30,0.0,20000.0,20.0,0.05
2123,,,zero,0.1,wiki_fast,1.0,100.0,0.0,71.384765625,-0.0314547120526251,1.0,4.0,30,0.0,20000.0,5.0,0.05
2124,,,act,5.0,wiki_fast,1.0,71.79487347602844,-28.205126523971558,85.33948516845703,19.51099248164002,1.0,4.0,30,0.0,20000.0,5.0,0.05
2125,,,ig,1.0,wiki_fast,1.0,98.4615445137024,-1.5384554862975932,89.95648193359375,25.976720094090616,1.0,4.0,30,0.0,20000.0,5.0,0.05
2127,,,greedy,1.0,wiki_fast,1.0,74.87179636955261,-25.128203630447388,306.48455810546875,333.77641904063836,1.0,4.0,50,0.0,20000.0,5.0,0.05
2128,,,durable,0.001,wiki_fast,1.0,100.0,0.0,70.93173217773438,0.39172273670977736,1.0,4.0,50,0.0,20000.0,5.0,0.05
2129,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,71.06355285644531,0.5782923385200576,1.0,4.0,50,0.0,20000.0,5.0,0.05
2130,,,obs,0.01,wiki_fast,1.0,100.0,0.0,70.67752838134766,0.03194078493777108,1.0,4.0,50,0.0,20000.0,5.0,0.05
2131,,,random,25.0,wiki_fast,1.0,98.4615445137024,-1.5384554862975932,672.4015502929688,851.6692731484576,1.0,4.0,50,0.0,20000.0,1.0,0.05
2132,,,random_greedy,25.0,wiki_fast,1.0,2.0512821152806198,-97.94871788471939,82.65861511230469,16.989117781050563,1.0,4.0,50,0.0,20000.0,20.0,0.5
2133,,,hc,0.1,wiki_fast,1.0,100.0,0.0,70.46733856201172,-0.2655469179140184,1.0,4.0,50,0.0,20000.0,10.0,0.05
2134,,,slim,0.1,wiki_fast,1.0,100.0,0.0,70.5675277709961,-0.1237462459049549,1.0,4.0,50,0.0,20000.0,20.0,0.05
2135,,,zero,0.1,wiki_fast,1.0,100.0,0.0,70.63396453857422,-0.029716375979968224,1.0,4.0,50,0.0,20000.0,5.0,0.05
2136,,,act,5.0,wiki_fast,1.0,97.43589758872986,-2.5641024112701416,88.90840148925781,25.83462037707619,1.0,4.0,50,0.0,20000.0,5.0,0.05
2137,,,ig,5.0,wiki_fast,1.0,99.48718547821044,-0.512814521789565,147.08270263671875,108.17038367923072,1.0,4.0,50,0.0,20000.0,5.0,0.05
2139,,,greedy,0.1,wiki_fast,1.0,98.97436499595642,-1.025635004043579,92.57041931152344,41.75296032540097,1.0,8.0,10,0.0,20000.0,5.0,0.05
2140,,,durable,1.0,wiki_fast,1.0,98.97436499595642,-1.025635004043579,98.3562240600586,50.6127554637333,1.0,8.0,10,0.0,20000.0,5.0,0.05
2141,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,65.51789093017578,0.3274594919441857,1.0,8.0,10,0.0,20000.0,5.0,0.05
2142,,,obs,0.001,wiki_fast,1.0,100.0,0.0,65.32109069824219,0.026099557779560845,1.0,8.0,10,0.0,20000.0,5.0,0.05
2143,,,random,1.0,wiki_fast,1.0,97.94871807098387,-2.0512819290161275,105.43930053710938,61.45906107950762,1.0,8.0,10,0.0,20000.0,20.0,0.05
