,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
111,97.00441479682922,-0.0002101424529881839,durable_agg,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
112,97.00295567512512,-0.001714320011219395,obs,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
113,91.45111441612244,-5.72498949656406,random,10.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,10.0,0.05
114,97.01776146888733,0.01354865815318554,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,20.0,0.7
115,96.64045691490173,-0.3754065887794351,hc,1.0,mult,1.0,0.55555556900799,-99.44134079389487,,,0.0,8.0,200,0.0,3000.0,1.0,0.05
116,94.64911580085754,-2.4282378269884157,slim,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,1.0,0.05
117,97.00700998306274,0.0024651798871011513,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
118,96.93684339523315,-0.06986806445725267,act,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
119,96.47542953491211,-0.5455298079573254,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
121,97.02875852584839,0.013765872454589977,greedy,0.001,mult,1.0,100.0,0.0,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
122,83.35180282592773,-14.083949753324486,durable,5.0,mult,1.0,65.55555462837219,-34.44444537162781,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
123,84.32247996330261,-13.083410558243544,durable_agg,5.0,mult,1.0,77.77777910232544,-22.22222089767456,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
124,81.75205826759338,-15.732909094284848,obs,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
125,94.68515157699585,-2.4019401536835616,random,10.0,mult,1.0,0.55555556900799,-99.44444443099201,,,0.0,8.0,350,0.0,3000.0,1.0,0.05
126,96.99845314025879,-0.017471832583398635,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,350,0.0,3000.0,20.0,0.5
127,97.0013952255249,-0.01443923656287484,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,350,0.0,3000.0,1.0,0.05
128,93.27238082885742,-3.8581735939798003,slim,5.0,mult,1.0,10.00000014901161,-89.99999985098839,,,0.0,8.0,350,0.0,3000.0,20.0,0.05
129,96.05868697166443,-0.986149109182906,zero,5.0,mult,1.0,83.33333730697632,-16.66666269302368,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
130,96.99856281280518,-0.017358786054270516,act,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
131,96.60812497138977,-0.41980811605022456,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,350,0.0,3000.0,5.0,0.05
133,96.9649875164032,0.01312193718745564,greedy,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
134,96.9542944431305,0.0020927227411028392,durable,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
135,96.95377111434937,0.001552942903650344,durable_agg,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
136,86.475168466568,-10.806448905873031,obs,5.0,mult,1.0,86.11111044883728,-13.407825816455384,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
137,65.43863892555237,-32.504270439289186,random,25.0,mult,1.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,1.0,0.05
138,97.00878977775574,0.05830114071218109,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,20.0,0.7
139,96.8054711818695,-0.15140885918883878,hc,1.0,mult,1.0,0.55555556900799,-99.44134079389487,,,0.0,8.0,500,0.0,3000.0,1.0,0.05
140,95.59191942214966,-1.403109119568058,slim,5.0,mult,1.0,7.7777780592441506,-92.17877102087567,,,0.0,8.0,500,0.0,3000.0,20.0,0.05
141,96.94999933242798,-0.0023374065398569315,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
142,96.86625480651855,-0.08871447620053521,act,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
143,93.99487495422363,-3.050357339785444,ig,1.0,mult,1.0,1.11111113801598,-98.88268158778975,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
145,93.01434636116028,-4.024844776421662,greedy,1.0,mult,1.0,93.88889074325562,-6.111109256744385,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
