,avg_acc,localization_method,ratio,data_name,backdoor,avg_perc_mem,wiki_perp,duplicate,n_layers,epoch
4874,,slim,5.0,wiki_fast,0.0,0.0,75.03814290364583,1.0,2.0,70
4875,,zero,1.0,wiki_fast,0.0,0.0,67.11993815104167,1.0,2.0,70
4876,,act,1.0,wiki_fast,0.0,0.0,69.58702799479167,1.0,2.0,70
4878,,durable,1.0,wiki_fast,0.0,0.0,74.070947265625,1.0,2.0,100
4879,,durable_agg,0.1,wiki_fast,0.0,0.0,70.29102376302083,1.0,2.0,100
4880,,random,0.001,wiki_fast,0.0,9.255700088319847,65.85928141276041,1.0,2.0,100
4881,,hc,1.0,wiki_fast,0.0,0.0,69.07628580729167,1.0,2.0,100
4882,,hc,1.0,wiki_fast,0.0,0.0,69.07628580729167,1.0,2.0,100
4883,,slim,5.0,wiki_fast,0.0,0.0,73.02276204427083,1.0,2.0,100
4884,,zero,1.0,wiki_fast,0.0,0.0,65.97946370442709,1.0,2.0,100
4885,,act,1.0,wiki_fast,0.0,0.0,68.56494954427083,1.0,2.0,100
4887,,hc,1.0,wiki_fast,0.0,0.3658902339308641,62.122701009114586,1.0,4.0,10
4888,,slim,1.0,wiki_fast,0.0,0.0,66.17586669921874,1.0,4.0,10
4889,,zero,1.0,wiki_fast,0.0,0.0,61.28843994140625,1.0,4.0,10
4890,,act,1.0,wiki_fast,0.0,0.0,65.3801025390625,1.0,4.0,10
4892,,hc,5.0,wiki_fast,0.0,0.0,63.15005289713542,1.0,4.0,40
4893,,slim,1.0,wiki_fast,0.0,0.0,59.4366455078125,1.0,4.0,40
4894,,zero,1.0,wiki_fast,0.0,0.0,58.57199300130208,1.0,4.0,40
4895,,act,1.0,wiki_fast,0.0,0.0,59.01671142578125,1.0,4.0,40
4897,,hc,1.0,wiki_fast,0.0,0.0,60.094417317708334,1.0,4.0,70
4898,,slim,1.0,wiki_fast,0.0,0.0,59.42131754557292,1.0,4.0,70
4899,,zero,1.0,wiki_fast,0.0,0.0,57.72220052083333,1.0,4.0,70
4900,,act,1.0,wiki_fast,0.0,0.0,57.48454996744792,1.0,4.0,70
4902,,hc,5.0,wiki_fast,0.0,0.0,62.58359375,1.0,4.0,100
4903,,slim,1.0,wiki_fast,0.0,0.0,59.55062662760417,1.0,4.0,100
4904,,zero,1.0,wiki_fast,0.0,0.0,57.622135416666666,1.0,4.0,100
4905,,act,1.0,wiki_fast,0.0,0.0,58.90138346354167,1.0,4.0,100
4907,,hc,1.0,wiki_fast,0.0,0.0,57.94081217447917,1.0,8.0,10
4908,,slim,1.0,wiki_fast,0.0,0.0,55.65703531901042,1.0,8.0,10
4909,,zero,1.0,wiki_fast,0.0,0.0,55.57789713541667,1.0,8.0,10
4910,,act,1.0,wiki_fast,0.0,0.0,56.59306233723958,1.0,8.0,10
4912,,hc,1.0,wiki_fast,0.0,0.0,62.31358235677083,1.0,8.0,40
4913,,slim,1.0,wiki_fast,0.0,0.0,53.17064615885417,1.0,8.0,40
4914,,zero,1.0,wiki_fast,0.0,0.0,54.15130208333333,1.0,8.0,40
4915,,act,1.0,wiki_fast,0.0,0.0,56.04613037109375,1.0,8.0,40
4917,,hc,1.0,wiki_fast,0.0,0.0,61.10703125,1.0,8.0,70
4918,,slim,1.0,wiki_fast,0.0,0.0,52.092919921875,1.0,8.0,70
4919,,zero,1.0,wiki_fast,0.0,1.8294511696543294,53.81279703776042,1.0,8.0,70
4920,,act,1.0,wiki_fast,0.0,0.0,53.228369140625,1.0,8.0,70
4922,,hc,1.0,wiki_fast,0.0,0.0,67.61068929036459,1.0,8.0,100
4923,,slim,1.0,wiki_fast,0.0,0.0,52.86599527994792,1.0,8.0,100
4924,,zero,5.0,wiki_fast,0.0,0.0,56.18927001953125,1.0,8.0,100
4925,,act,1.0,wiki_fast,0.0,0.0,52.01966552734375,1.0,8.0,100
4927,,hc,5.0,wiki_fast,0.0,0.7317804678617282,56.50352783203125,1.0,16.0,10
4928,,slim,0.1,wiki_fast,0.0,26.262984497926983,48.50377604166667,1.0,16.0,10
4929,,zero,5.0,wiki_fast,0.0,6.220133641515084,53.77717692057292,1.0,16.0,10
4930,,act,5.0,wiki_fast,0.0,0.0,50.78031005859375,1.0,16.0,10
4932,,hc,5.0,wiki_fast,0.0,3.658902339308668,60.02520751953125,1.0,16.0,40
4933,,slim,1.0,wiki_fast,0.0,6.5860242107556175,46.90107828776042,1.0,16.0,40
4934,,zero,5.0,wiki_fast,0.0,3.6950505310946085,54.05247395833333,1.0,16.0,40
4935,,act,1.0,wiki_fast,0.0,1.0976707017926013,48.4420654296875,1.0,16.0,40
4937,,hc,5.0,wiki_fast,0.0,0.3658902339308641,55.88892415364583,1.0,16.0,70
4938,,slim,0.1,wiki_fast,0.0,27.396802385576553,45.25548095703125,1.0,16.0,70
4939,,zero,5.0,wiki_fast,0.0,6.5860242107556175,52.52214762369792,1.0,16.0,70
4940,,act,5.0,wiki_fast,0.0,0.0,51.72424723307292,1.0,16.0,70
4942,,hc,5.0,wiki_fast,0.0,1.4635609357234651,54.3218017578125,1.0,16.0,100
4943,,slim,1.0,wiki_fast,0.0,1.0976707017926013,47.72449137369792,1.0,16.0,100
4944,,zero,5.0,wiki_fast,0.0,4.390682807170405,51.94708251953125,1.0,16.0,100
4945,,act,5.0,wiki_fast,0.0,0.0,51.79036051432292,1.0,16.0,100
