model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise
4_layer_2000_epoch.pth,hc,mult,noise,0.08,0.0,0.4115132689476013,32.59545135498047,33.130313873291016
4_layer_2000_epoch.pth,hc,mult,ablate,0.08,0.0,0.7317736744880676,3.272777795791626,3.6731560230255127
4_layer_2000_epoch.pth,hc,mult,mean,0.08,0.0,0.7550994157791138,2.9651589393615723,3.3278181552886963
4_layer_2000_epoch.pth,ig,mult,noise,0.08,0.0,0.3681969344615936,74.07714080810547,75.45845031738281
4_layer_2000_epoch.pth,ig,mult,ablate,0.08,0.0,0.2147950232028961,61.40753173828125,61.97309875488281
4_layer_2000_epoch.pth,ig,mult,mean,0.08,0.0,0.2192433327436447,72.5739974975586,73.6729965209961
4_layer_2000_epoch.pth,zero,mult,noise,0.09,0.0,0.3800448775291443,43.69956970214844,44.424560546875
4_layer_2000_epoch.pth,zero,mult,ablate,0.09,0.0,0.3750388920307159,14.160393714904783,14.477876663208008
4_layer_2000_epoch.pth,zero,mult,mean,0.09,0.0,0.3525626957416534,20.24799156188965,20.93925094604492
4_layer_2000_epoch.pth,act,mult,noise,0.09,0.0,0.3766136765480041,33.07600021362305,33.678714752197266
4_layer_2000_epoch.pth,act,mult,ablate,0.09,0.0,0.2926644682884216,64.96546173095703,64.33761596679688
4_layer_2000_epoch.pth,act,mult,mean,0.09,0.0,0.3007598519325256,69.36253356933594,69.01345825195312
4_layer_2000_epoch.pth,slim,mult,noise,0.09,0.0,0.3840826153755188,39.18231201171875,39.8975830078125
4_layer_2000_epoch.pth,slim,mult,ablate,0.09,0.0,0.8069285154342651,2.546053886413574,2.871089458465576
4_layer_2000_epoch.pth,slim,mult,mean,0.09,0.0,0.8128840923309326,2.464218616485596,2.801229953765869
4_layer_2000_epoch.pth,hc,mult,noise,0.09,0.0,0.3976294994354248,36.72673797607422,38.28313446044922
4_layer_2000_epoch.pth,hc,mult,ablate,0.09,0.0,0.7202128171920776,3.41382098197937,3.8274986743927
4_layer_2000_epoch.pth,hc,mult,mean,0.09,0.0,0.7481428980827332,3.0566768646240234,3.437089681625366
4_layer_2000_epoch.pth,ig,mult,noise,0.09,0.0,0.3611066937446594,77.72476196289062,79.79408264160156
4_layer_2000_epoch.pth,ig,mult,ablate,0.09,0.0,0.2155089676380157,58.978851318359375,59.42924499511719
4_layer_2000_epoch.pth,ig,mult,mean,0.09,0.0,0.2222825139760971,68.56305694580078,69.49261474609375
4_layer_2000_epoch.pth,zero,mult,noise,0.1,0.0,0.375379204750061,45.13856506347656,46.21575927734375
4_layer_2000_epoch.pth,zero,mult,ablate,0.1,0.0,0.3794891536235809,13.796869277954102,14.045639991760254
4_layer_2000_epoch.pth,zero,mult,mean,0.1,0.0,0.3532205820083618,20.84704971313477,21.45295143127441
4_layer_2000_epoch.pth,act,mult,noise,0.1,0.0,0.3704807758331299,33.801605224609375,34.53789138793945
4_layer_2000_epoch.pth,act,mult,ablate,0.1,0.0,0.2750858664512634,69.85964965820312,68.6480941772461
4_layer_2000_epoch.pth,act,mult,mean,0.1,0.0,0.2846561074256897,72.87488555908203,71.90235900878906
